id,email,firstName,lastName,username,birthdate,country,password,Bitcoin,Ethereum,Euro,US-Dollar,Canadian-Dollar,Bitcoin Cash,Litecoin,Dogecoin,Yen,Yuán
1,robert.nguyen@example.org,Robert,Nguyen,vanessacampbell,1989-10-21,Afghanistan,Passwort123!,0.0,0.0,24903.61,0.0,0.0,0.0,18432.33,0.0,0.0,0.0
2,robert.schmidt@example.org,Robert,Schmidt,dana83,1969-04-21,Uruguay,Passwort123!,0.0,0.0,0.0,0.0,23506.97,0.0,0.0,0.0,0.0,0.0
3,michael.bennett@example.org,Michael,Bennett,joseph63,1990-05-17,Peru,Passwort123!,0.0,0.0,22125.14,52995.93,0.0,76963.0,0.0,0.0,63638.46,0.0
4,thomas.ray@example.org,Thomas,Ray,cmartin,1967-06-14,Faroe Islands,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,380.19,0.0,0.0,14.19
5,william.underwood@example.org,William,Underwood,norman25,1963-09-19,Slovenia,Passwort123!,0.0,0.0,10640.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,martin.cunningham@example.org,Martin,Cunningham,uhaynes,1997-01-14,Maldives,Passwort123!,9945.54,0.0,0.0,17483.27,21409.51,0.0,0.0,0.0,0.0,0.0
7,jennifer.lopez@example.org,Jennifer,Lopez,brittany22,1977-07-20,Benin,Passwort123!,72984.92,11963.07,0.0,58779.35,0.0,0.0,0.0,0.0,0.0,22968.97
8,linda.gonzalez@example.org,Linda,Gonzalez,jeffrey29,2004-03-20,Somalia,Passwort123!,0.0,0.0,0.0,0.0,9982.54,0.0,0.0,0.0,0.0,0.0
9,angela.kelly@example.org,Angela,Kelly,sandraarmstrong,1992-03-28,Zimbabwe,Passwort123!,14199.32,0.0,0.0,0.0,11130.96,0.0,0.0,0.0,10733.31,0.0
10,carly.castaneda@example.org,Carly,Castaneda,alexandra52,1993-12-13,Somalia,Passwort123!,69605.67,0.0,65665.62,0.0,0.0,0.0,49172.6,0.0,0.0,0.0
11,joshua.waters@example.org,Joshua,Waters,jeffrey18,1973-04-08,Iceland,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,sean.wilson@example.org,Sean,Wilson,kristin24,1985-10-07,Equatorial Guinea,Passwort123!,0.0,0.0,0.0,0.0,0.0,52023.37,0.0,30786.84,0.0,0.0
13,chelsey.williams@example.org,Chelsey,Williams,juliarodriguez,1989-04-05,Reunion,Passwort123!,0.0,0.0,21262.04,0.0,15298.97,0.0,0.0,11126.09,0.0,0.0
14,ashley.ross@example.org,Ashley,Ross,xwhite,1998-07-11,Tunisia,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,steven.green@example.org,Steven,Green,tlee,1976-09-10,Libyan Arab Jamahiriya,Passwort123!,0.0,76135.21,0.0,0.0,0.0,0.0,5519.17,0.0,5637.26,0.0
16,kevin.dunlap@example.org,Kevin,Dunlap,michaelmoore,1971-08-07,Bermuda,Passwort123!,0.0,0.0,0.0,0.0,16231.04,0.0,0.0,0.0,9613.14,0.0
17,michelle.erickson@example.org,Michelle,Erickson,patriciajohnson,1971-06-22,Saint Helena,Passwort123!,28896.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,daniel.donovan@example.org,Daniel,Donovan,aharris,1969-03-21,Falkland Islands (Malvinas),Passwort123!,17383.54,0.0,0.0,0.0,13054.11,0.0,0.0,1529.25,0.0,16132.9
19,sandra.barber@example.org,Sandra,Barber,gonzalezpatrick,1969-09-18,Greece,Passwort123!,0.0,0.0,0.0,0.0,0.0,8360.47,0.0,0.0,0.0,0.0
20,nicole.curry@example.org,Nicole,Curry,careynicole,1980-10-05,Reunion,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,39658.89,0.0,0.0,0.0
21,colleen.ortega@example.org,Colleen,Ortega,christinachristian,1987-10-09,Sudan,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,joel.sullivan@example.org,Joel,Sullivan,scott98,1980-03-21,Bangladesh,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,bobby.phillips@example.org,Bobby,Phillips,shane96,1992-10-14,Ecuador,Passwort123!,12012.63,0.0,0.0,19857.27,0.0,0.0,17014.18,0.0,0.0,0.0
24,hailey.grant@example.org,Hailey,Grant,angela42,1967-06-30,El Salvador,Passwort123!,0.0,0.0,8310.02,0.0,0.0,792.67,8373.06,7056.41,0.0,0.0
25,james.cunningham@example.org,James,Cunningham,justin90,2003-08-28,Svalbard & Jan Mayen Islands,Passwort123!,34623.31,0.0,0.0,18828.86,0.0,66673.86,0.0,51353.81,0.0,0.0
26,samantha.wilson@example.org,Samantha,Wilson,kingmelissa,2001-08-26,Saint Pierre and Miquelon,Passwort123!,14813.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21110.13
27,anthony.palmer@example.org,Anthony,Palmer,stephencooper,2003-02-06,South Georgia and the South Sandwich Islands,Passwort123!,4694.69,0.0,0.0,40190.85,49527.89,50630.11,0.0,0.0,0.0,0.0
28,samuel.martinez@example.org,Samuel,Martinez,ayersedwin,1996-03-08,Greenland,Passwort123!,0.0,0.0,24317.23,0.0,18676.62,0.0,0.0,4951.48,0.0,0.0
29,christopher.lopez@example.org,Christopher,Lopez,martinezmariah,2001-10-14,Vietnam,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,36149.45,0.0,0.0,0.0
30,christopher.mejia@example.org,Christopher,Mejia,vallen,2001-09-26,Cyprus,Passwort123!,0.0,60510.45,0.0,0.0,0.0,48409.99,0.0,0.0,0.0,34456.56
31,jamie.adkins@example.org,Jamie,Adkins,logancowan,1982-07-02,Romania,Passwort123!,0.0,0.0,54563.79,0.0,77347.46,0.0,30745.61,0.0,0.0,0.0
32,alexander.harris@example.org,Alexander,Harris,obauer,1997-06-27,Israel,Passwort123!,0.0,0.0,0.0,0.0,10757.68,0.0,85311.7,0.0,0.0,0.0
33,pamela.dds@example.org,Pamela,DDS,jennifer26,1986-11-20,Faroe Islands,Passwort123!,0.0,0.0,0.0,37423.09,30940.83,57856.89,0.0,0.0,0.0,0.0
34,todd.vargas@example.org,Todd,Vargas,rwhite,2002-06-01,Kyrgyz Republic,Passwort123!,0.0,0.0,0.0,5375.61,0.0,0.0,0.0,0.0,0.0,0.0
35,alison.mahoney@example.org,Alison,Mahoney,stokescaitlin,2001-12-16,Lithuania,Passwort123!,0.0,10391.4,46047.25,0.0,0.0,0.0,2885.7,0.0,0.0,50149.87
36,amanda.reyes@example.org,Amanda,Reyes,mcook,1987-10-22,Japan,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,eric.patel@example.org,Eric,Patel,dianapowers,2002-08-05,Falkland Islands (Malvinas),Passwort123!,0.0,0.0,16117.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,mark.lee@example.org,Mark,Lee,edwardoconnell,1994-06-18,Luxembourg,Passwort123!,0.0,0.0,0.0,0.0,20748.19,0.0,42537.84,0.0,0.0,0.0
39,karen.jones@example.org,Karen,Jones,bentonjames,1980-06-03,Namibia,Passwort123!,0.0,0.0,29224.82,0.0,11742.6,0.0,0.0,15014.74,0.0,18337.68
40,joel.frye@example.org,Joel,Frye,paulray,2001-05-01,Kyrgyz Republic,Passwort123!,0.0,32416.62,6626.37,30196.18,39217.53,0.0,0.0,10343.61,0.0,0.0
41,zoe.miller@example.org,Zoe,Miller,sheena87,1996-03-05,Chad,Passwort123!,0.0,42064.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29416.08
42,jorge.stone@example.org,Jorge,Stone,nhiggins,1994-03-08,Cambodia,Passwort123!,0.0,0.0,0.0,0.0,6880.22,0.0,0.0,15200.65,0.0,0.0
43,steven.garrett@example.org,Steven,Garrett,ecarter,2001-04-24,Cape Verde,Passwort123!,0.0,52987.05,0.0,0.0,62719.81,0.0,0.0,0.0,0.0,0.0
44,randy.allen@example.org,Randy,Allen,wsanders,1965-09-03,Vietnam,Passwort123!,0.0,0.0,0.0,0.0,53516.31,0.0,0.0,74966.73,0.0,0.0
45,jimmy.burton@example.org,Jimmy,Burton,marcus13,1974-03-31,Togo,Passwort123!,0.0,0.0,4839.37,0.0,0.0,0.0,0.0,0.0,0.0,6233.4
46,kevin.taylor@example.org,Kevin,Taylor,kelliburns,1982-04-20,Brunei Darussalam,Passwort123!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.71
